URL,title,author,album
https://music.163.com/song?id=1003883,Eg veit i himmerik ei borg,Iver Kleive,Til Trost
https://music.163.com/song?id=461601183,ドヴォルザーク:交響曲第9番《新世界より》 第3楽章,佐渡 裕,ドヴォルザーク:交響曲第9番《新世界より》
https://music.163.com/song?id=117240,"Nocturne,Op.9,No.2",李云迪,Portrait
https://music.163.com/song?id=1715939,"Sonata for 2 Pianos in D Major, K. 448:II. Andante",Murray Perahia,"Mozart: Sonata in D Major for Two Pianos & Schubert: Fantasia in F Minor for Piano, Four Hands, D. 940 (Op. 103) - Expanded Edition"
https://music.163.com/song?id=33739974,Romance For Violin And Orchestra No.2 In F Major Op.50,David Oistrakh,David Oistrakh: Violin Concertos (Historic Russian Archives)
https://music.163.com/song?id=36190694,"Valse oubliée No.3, S.215/3",Franz Liszt,"Liszt: The Complete Music for Solo Piano, Vol.1 - Waltzes"
https://music.163.com/song?id=1648643,Concerto Pour 2 Violons Et Orchestre A Cordes Op.3 N° 8 (Allegro),Angelicum de Milan,Intouchables (La Bande Originale du Film)
https://music.163.com/song?id=568801375,"Sehnsucht nach dem Frühlinge, K. 596",Etty van der Mei,In Praise of Mozart (Live)
https://music.163.com/song?id=667148,"Piano Sonata No.11 in A, K.331 -""Alla Turca"":3. Alla turca (Allegretto)",内田光子,Mozart: The Piano Sonatas
https://music.163.com/song?id=25042964,"Orchestral Suite No. 3 in D Major, BWV 1068:II. Air",English Chamber Orchestra,The Best of Baroque
https://music.163.com/song?id=1003876,Air,Aage Kvalbein,Til Trost
https://music.163.com/song?id=1491040,More Than Words - Piano/cello Cover,Jon Schmidt,More Than Words - Piano/cello Cover
https://music.163.com/song?id=19798725,"Concerto for Two Trumpets in C Major, RV. 537:I. Allegro",Wynton Marsalis,Classic Wynton
https://music.163.com/song?id=551440512,"Concerto for Clarinet and Orchestra in a Major, Kv. 622: II. Adagio",Ernst Ottensamer,Hannibal: Soundtrack Highlights Series 1 & 2
https://music.163.com/song?id=27471606,"Toccata and Fugue in D Minor, BWV 565:Toccata and Fugue in D Minor, BWV 565: Toccata",Wolfgang Rübsam,BACH (THE VERY BEST OF)
https://music.163.com/song?id=1213398,Fruhlingsstimmen' Op.410 - Walzer,Carlos Kleiber,New Year's Concert 1989
https://music.163.com/song?id=1644789,"Serenade In G, K.525 ""Eine kleine Nachtmusik"":1. Allegro",Karl Böhm,"Mozart: Eine kleine Nachtmusik; Serenatas notturna, ""Haffner"" & ""Posthorn"""
https://music.163.com/song?id=2852197,"Concerto for 2 Violins, Strings, and Continuo in D minor, BWV 1043:3. Allegro",Julia Fischer, Bach: Violin Concertos
https://music.163.com/song?id=1070991,Ruin,Adam Hurst,Ruin
https://music.163.com/song?id=5276807,悲怆奏鸣曲,Ludwig van Beethoven,史上最优美钢琴小品精华
https://music.163.com/song?id=22618517,Romance Anónimo,Manuel Barrueco,The Most Relaxing Guitar Album In The World... Ever!
https://music.163.com/song?id=39324895,3 Gymnopédies:Gymnopedie No. 1 (Lent et douloureux),Erik Satie,Hannibal Soundtrack (Music Inspired by the TV Series)
https://music.163.com/song?id=5195113,You Raise Me Up,Becky Taylor,天籁美声2
https://music.163.com/song?id=1501622,"Suite No. 1, BWV 1007, In G:Sarabande",Janos Starker,Bach: Suites for Solo Cello
https://music.163.com/song?id=18565935,Serenade,Julian Lloyd Webber,Unexpected Songs
https://music.163.com/song?id=402063272,"Brahms: Wiegenlied, Op.49, No.4",Johannes Brahms,Brahms at Bedtime
https://music.163.com/song?id=2909282,"Cantata No. 51, 'Jauchzet Gott in allen Landen,' BWV 51 (BC A134): No 4, (Chorale) Sei Lob Und Preis Mit Ehren. Allelujah.",Kathleen Battle,Baroque Duet
https://music.163.com/song?id=504329461,"25 Preludes dans tous les tons majeurs et mineurs, Op. 31: No. 1 Lentement",Laurent Martin,ALKAN: Railway (The) / Preludes / Etudes / Esquisses
https://music.163.com/song?id=3025352,Transcendence,Lindsey Stirling,Lindsey Stomp - EP
https://music.163.com/song?id=27256783,"Xerxes, HWV 40:Largo (''Ombra mai fu'')",Shigeo Genda,The 99 Most Essential Pieces of Classical Music
https://music.163.com/song?id=1458643,"Symphony No. 5 in C Minor, Op. 67:I. Allegro con brio",Herbert von Karajan,Beethoven: The 9 Symphonies
https://music.163.com/song?id=1892480001,雾色花园,废铁,Themes and Piano
https://music.163.com/song?id=25892489,阿玛蒂斯:G大调第13号小夜曲/莫扎特,Wolfgang Amadeus Mozart,OSCAR电影中的古典
https://music.163.com/song?id=1698130,Dinner,马友友,Yo-Yo Ma Plays Ennio Morricone
https://music.163.com/song?id=5169887,"Mozart: Symphony No.40 in G minor, K. 550",Wolfgang Amadeus Mozart,Heat Is On 2006
https://music.163.com/song?id=34274307,维瓦尔第: 四季·春 - 第一乐章 快板,中国国家交响乐团,名家室内乐专辑2
https://music.163.com/song?id=16171278,Waltz No.2,André Rieu,Strauss & Co
https://music.163.com/song?id=1003950,Himlen I Min Famn,Iver Kleive,Julemeditasjoner
https://music.163.com/song?id=27546749,"Symphony No. 40 in G minor, K. 550:IV. Allegro assai",Carlo Maria Giulini,Mozart: Symphonies Nos. 40 & 41 ''Jupiter''
https://music.163.com/song?id=5169896,"Eine Kleine Nachtmusik, K.525: Allegro",Wolfgang Amadeus Mozart,Heat Is On 2006
https://music.163.com/song?id=449217832,"Serenade No. 6 in D, K. 239 (""Serenata notturna""):Menuetto",Pinchas Zukerman,Israel Philharmonic Orchestra 60th Anniversary Gala Concert
